date,governorate,n_infected,n_recovered,n_dead
"03:59, 16 May 2020",Tunis,233,186,8
"03:59, 16 May 2020",Kébili,106,62,0
"03:59, 16 May 2020",Ariana,99,84,5
"03:59, 16 May 2020",Ben Arous,97,83,4
"03:59, 16 May 2020",Médenine,90,71,5
"03:59, 16 May 2020",Sousse,84,68,7
"03:59, 16 May 2020",Gafsa,47,29,0
"03:59, 16 May 2020",Manouba,40,26,5
"03:59, 16 May 2020",Monastir,40,38,0
"03:59, 16 May 2020",Sfax,36,26,5
"03:59, 16 May 2020",Tataouine,36,26,1
"03:59, 16 May 2020",Bizerte,25,18,1
"03:59, 16 May 2020",Gabès,23,16,0
"03:59, 16 May 2020",Mahdia,17,15,1
"03:59, 16 May 2020",Nabeul,15,14,1
"03:59, 16 May 2020",Kasserine,8,8,0
"03:59, 16 May 2020",Kairouan,8,4,0
"03:59, 16 May 2020",Le Kef,8,6,1
"03:59, 16 May 2020",Sidi Bouzid,6,5,1
"03:59, 16 May 2020",Tozeur,5,5,0
"03:59, 16 May 2020",Siliana,,0,4
"03:59, 16 May 2020",Béja,,0,4
"03:59, 16 May 2020",Zaghouan,,0,3
"03:59, 16 May 2020",Jendouba,,0,1
"20:24, 22 April 2020",Tunis,195,TBA,6
"20:24, 22 April 2020",Ariana,93,TBA,5
"20:24, 22 April 2020",Ben Arous,91,TBA,3
"11:10, 22 April 2020",Tunis,195,TBA,6
"20:24, 22 April 2020",Médenine,85,TBA,3
"20:24, 22 April 2020",Kébili,85,TBA,0
"11:10, 22 April 2020",Ariana,93,TBA,5
"11:10, 22 April 2020",Ben Arous,91,TBA,3
"11:10, 22 April 2020",Médenine,85,TBA,3
"20:24, 22 April 2020",Sousse,74,TBA,5
"20:24, 22 April 2020",Manouba,38,TBA,5
"11:10, 22 April 2020",Kébili,85,TBA,0
"11:10, 22 April 2020",Sousse,74,TBA,5
"20:24, 22 April 2020",Monastir,37,TBA,0
"20:24, 22 April 2020",Sfax,36,TBA,5
"11:10, 22 April 2020",Manouba,38,TBA,5
"11:10, 22 April 2020",Monastir,37,TBA,0
"20:24, 22 April 2020",Gafsa,33,TBA,0
"20:24, 22 April 2020",Tataouine,32,TBA,1
"22:01, 20 April 2020",Tunis,193,TBA,6
"11:10, 22 April 2020",Sfax,36,TBA,5
"11:10, 22 April 2020",Gafsa,33,TBA,0
"11:10, 22 April 2020",Tataouine,32,TBA,1
"20:24, 22 April 2020",Gabès,22,TBA,0
"20:24, 22 April 2020",Bizerte,19,TBA,1
"22:01, 20 April 2020",Ariana,89,TBA,5
"22:01, 20 April 2020",Ben Arous,87,TBA,3
"11:10, 22 April 2020",Gabès,22,TBA,0
"11:10, 22 April 2020",Bizerte,19,TBA,1
"11:10, 22 April 2020",Mahdia,15,TBA,1
"20:24, 22 April 2020",Mahdia,15,TBA,1
"20:24, 22 April 2020",Nabeul,12,TBA,1
